,Year,Month,Day,Time,Hour,Minute,Second,Declination,Right Ascension,Velocity,R,Distance,X,Y,Z
0,2023,10,8,8:03:00 PM,20,3,0,30.480846375532334,260.85697840481214,7723.2,6747506.0,1999987.0,-923.9990442699948,-5741.111631848292,3422.6744246101453
1,2023,10,8,8:03:10 PM,20,3,10,30.13827090678026,261.50204580162534,7723.2,6745897.0,2069174.0,-862.1083632748093,-5769.911049434187,3387.0373464427453
2,2023,10,8,8:03:20 PM,20,3,20,29.81990439513708,262.1705982464973,7723.2,6745897.0,2138361.0,-797.2768170828896,-5798.132954794999,3354.568563924636
3,2023,10,8,8:03:30 PM,20,3,30,29.435427363984417,262.87550330140914,7723.2,6745897.0,2215593.0,-728.6598598345436,-5829.708472742382,3315.2194898845833
4,2023,10,8,8:03:40 PM,20,3,40,29.09155701224706,263.52206086481795,7723.2,6745897.0,2284780.0,-665.0620020217633,-5857.224291449004,3279.8997648915292
5,2023,10,8,8:03:50 PM,20,3,50,28.75391230710259,264.15966957650744,7723.2,6745897.0,2353967.0,-601.7971736177287,-5883.3887415132285,3245.1045303148703
