,Year,Month,Day,Time,Hour,Minute,Second,Declination,Right Ascension,Velocity,R,Distance,X,Y,Z,Vx,Vy,Vz,True Anomaly,Eccentric Anomaly,Mean Anomaly,Hours Past Perigee
0,2023,10,5,7:47:40 PM,19,47,40,40.15932823165839,213.03635955280294,7662.481598505832,6753942.0,2038603.0,-4327203.88576161,-2814024.7665293072,4355720.799566164,4864.535576746426,-5836.110122198845,994.8550203808584,320.0416674237119,-39.952374408848314,-0.6859926216413555,-0.04521839682734195
1,2023,10,5,7:47:50 PM,19,47,50,40.269848324752374,213.8752114945321,7766.213634011569,6753942.0,1969416.0,-4278558.529994146,-2872385.8677512957,4365669.349769972,5119.584107673354,-5718.134945442202,1186.1136198856868,320.6914484995234,-39.31748443089333,-0.6750619730823219,-0.04449788411549969
2,2023,10,5,7:48:00 PM,19,48,0,40.40185216952787,214.7220038946815,7737.490816105816,6753942.0,1900229.0,-4227362.688917412,-2929567.2172057177,4377530.485968829,5139.562845208869,-5679.512442796305,1093.9818561531604,321.3502342511725,-38.674006153113055,-0.6639848610047452,-0.043767717006083354
3,2023,10,5,7:48:10 PM,19,48,10,40.52383244145591,215.5697238346977,7710.318704267043,6753942.0,1831042.0,-4175967.0604653237,-2986362.3416336807,4388470.304530361,5256.9194216848355,-5568.483190830331,897.6679055881687,322.00661604023657,-38.033099116049854,-0.652953391007927,-0.04304055847380714
4,2023,10,5,7:48:20 PM,19,48,20,40.63580244109131,216.41814474741722,7774.908124860954,6752333.0,1761855.0,-4123397.8662484754,-3042047.173541984,4397446.983586242,5236.904809359834,-5672.954094372364,917.3964305994101,322.66064390747727,-37.41218275591832,-0.6422673009569267,-0.042336166261391375
5,2023,10,5,7:48:30 PM,19,48,30,40.738461159970356,217.27758503075955,7742.053644886867,6752333.0,1692668.0,-4071028.818154877,-3098776.7144857077,4406620.9478922365,5251.103987154364,-5628.933325718017,824.8703964979388,323.32036871982183,-36.76891689350499,-0.631197896525407,-0.04160650721487107
6,2023,10,5,7:48:40 PM,19,48,40,40.83090145071175,218.13658530479196,7734.0911411333755,6752333.0,1623481.0,-4018517.7782833334,-3155066.047742888,4414869.651857216,5394.146816303162,-5462.486849099538,938.3940147607588,323.97728175431297,-36.12867251351148,-0.6201818054773637,-0.04088036241275251
7,2023,10,5,7:48:50 PM,19,48,50,40.93622089424354,218.99336865935848,8480.633910498776,6752333.0,1554294.0,-3964576.310120302,-3209690.9162338832,4424253.5920048235,5912.2321391332425,-6020.457047260274,848.9756174330599,324.633411874193,-35.489487211192106,-0.6091852302042636,-0.04015550402688384
8,2023,10,5,7:49:00 PM,19,49,0,41.03164945255951,219.93822092635503,6268.164270215791,6752333.0,1478671.0,-3905453.9887289694,-3269895.486706486,4432743.348179154,4365.18007731582,-4469.992320890119,504.236910785269,325.3530237824731,-34.788821652126934,-0.5971324065955899,-0.03936102119480477
9,2023,10,5,7:49:10 PM,19,49,10,41.08839339067989,220.6395829422885,8502.149002786404,6752333.0,1423965.0,-3861802.187955811,-3314595.409915387,4437785.717287007,6078.22410020004,-5889.59862493868,808.9236616947688,325.88484782075477,-34.27125798613774,-0.5882302614438297,-0.03877422081330251
10,2023,10,5,7:49:20 PM,19,49,20,41.17952756547589,221.58978183106683,7742.314400662089,6752333.0,1348342.0,-3801019.9469538108,-3373491.396164774,4445874.9539039545,5489.455785817653,-5436.8089536672,500.4156827846542,326.60620404436463,-33.569617270388434,-0.5761632631494717,-0.03797880363216202
11,2023,10,5,7:49:30 PM,19,49,30,41.2359684404377,222.45980174782378,7719.435566175342,6752333.0,1279155.0,-3746125.389095634,-3427859.485701446,4450879.110731801,5583.561018386902,-5302.07657977026,549.1045042018407,327.26309561623555,-32.931076103867795,-0.5651827370225505,-0.03725500315367858
12,2023,10,5,7:49:40 PM,19,49,40,41.29795696254799,223.32734778819676,7064.200886374687,6752333.0,1211577.0,-3690289.778911765,-3480880.2514991486,4456370.155773819,5146.3419671347365,-4819.043548167637,441.49496172498914,327.91811423304466,-32.29475739306584,-0.5542416116472372,-0.036533799844268536
13,2023,10,5,7:49:50 PM,19,49,50,41.34784017745221,224.12274892417224,7702.568554118354,6752333.0,1150435.0,-3638826.359240418,-3529070.686980825,4460785.105391069,5664.650092649879,-5200.7505719434,439.88083291389046,328.51753668843156,-31.71282160136794,-0.5442365849161862,-0.03587430110518538
14,2023,10,5,7:50:00 PM,19,50,0,41.39757905454403,224.99118825691463,8527.822175171916,6752333.0,1082857.0,-3582179.858313919,-3581078.192700259,4465183.913720208,6300.160403565317,-5735.192535058176,373.2244988134131,329.1711222700318,-31.078736211726163,-0.5333360541936859,-0.03515577366292325
15,2023,10,5,7:50:10 PM,19,50,10,41.43981073179684,225.95450827058272,7697.14548353113,6752333.0,1008843.0,-3519178.254278266,-3638430.1180508407,4468916.158708342,5717.220126315113,-5147.769108401332,244.77709960294888,329.8947382185206,-30.377273005930824,-0.5212785309627455,-0.03436098104706826
16,2023,10,5,7:50:20 PM,19,50,20,41.46752305690334,226.82516064090765,7780.873767700133,6752333.0,942874.0,-3462006.0530151147,-3689907.809134854,4471363.929704372,5883.0031621070575,-5084.006294681691,291.8053789075464,330.54784780433135,-29.74470159994576,-0.5104063412765366,-0.03364432175350788
17,2023,10,5,7:50:30 PM,19,50,30,41.50057515239537,227.70538521705183,7740.561477441629,6752333.0,876905.0,-3403176.021394044,-3740747.872081671,4474281.983493447,5874.57723794831,-5036.808639940759,190.24454276291652,331.2080543859467,-29.105818541872544,-0.4994267522142728,-0.03292058304327121
18,2023,10,5,7:50:40 PM,19,50,40,41.52213278193192,228.5820457574522,7699.892463996435,6752333.0,812545.0,-3344430.249014561,-3791115.9584810785,4476184.4289210765,5900.371752776252,-4944.707015381986,154.36861138641834,331.8648680876572,-28.470819214347905,-0.4885149627499016,-0.032201313461455924
19,2023,10,5,7:50:50 PM,19,50,50,41.539630396460026,229.45452059954474,7827.3630141682315,6752333.0,749794.0,-3285426.5314867985,-3840563.0286348984,4477728.115034941,6008.330099195009,-5016.591403807234,37.30766574628651,332.51821817748544,-27.83980526873741,-0.47767267928809576,-0.03148662548869405
20,2023,10,5,7:51:00 PM,19,51,0,41.54385991436756,230.34188867814981,7662.982766102758,6752333.0,687043.0,-3225343.2304948485,-3890728.9426729707,4478101.1916924035,5925.966440347582,-4858.3827806651125,-18.530461376160382,333.1823955543047,-27.199032853147028,-0.46666374326704335,-0.0307609523226246
21,2023,10,5,7:51:10 PM,19,51,10,41.541759107290225,231.21064840834566,7748.556488110866,6752333.0,627510.0,-3166083.5660913726,-3939312.770479622,4477915.887078642,6037.308667494124,-4856.5439872019,-70.79691531686112,333.8326256069712,-26.57244935669311,-0.4558995568507604,-0.03005141225245539
22,2023,10,5,7:51:20 PM,19,51,20,41.53373345625097,232.08898027051856,7702.928327034562,6752333.0,569586.0,-3105710.4794164314,-3987878.210351641,4477207.917925473,6075.274190183683,-4735.113705632789,-69.61695373971015,334.49011868637297,-25.939660460246703,-0.4450297228253633,-0.029334908236374704
